Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
E0,01/12/2019,14:00,Norwich,Arsenal,2,2,D,2,1,H,P Tierney
E0,01/12/2019,14:00,Wolves,Sheffield United,1,1,D,0,1,A,D Coote
E0,01/12/2019,16:30,Leicester,Everton,2,1,H,0,1,A,G Scott
E0,01/12/2019,16:30,Man United,Aston Villa,2,2,D,1,1,D,C Pawson
E0,03/12/2019,19:30,Crystal Palace,Bournemouth,1,0,H,0,0,D,A Taylor
E0,03/12/2019,20:15,Burnley,Man City,1,4,A,0,1,A,J Moss
E0,04/12/2019,19:30,Chelsea,Aston Villa,2,1,H,1,1,D,C Kavanagh
E0,04/12/2019,19:30,Leicester,Watford,2,0,H,0,0,D,C Pawson
E0,04/12/2019,19:30,Man United,Tottenham,2,1,H,1,1,D,P Tierney
E0,04/12/2019,19:30,Southampton,Norwich,2,1,H,2,0,H,K Friend
E0,04/12/2019,19:30,Wolves,West Ham,2,0,H,1,0,H,A Marriner
E0,04/12/2019,20:15,Liverpool,Everton,5,2,H,4,2,H,M Dean
E0,05/12/2019,19:30,Sheffield United,Newcastle,0,2,A,0,1,A,S Attwell
E0,05/12/2019,20:15,Arsenal,Brighton,1,2,A,0,1,A,G Scott
E0,07/12/2019,12:30,Everton,Chelsea,3,1,H,1,0,H,C Pawson
E0,07/12/2019,15:00,Bournemouth,Liverpool,0,3,A,0,2,A,C Kavanagh
E0,07/12/2019,15:00,Tottenham,Burnley,5,0,H,3,0,H,K Friend
E0,07/12/2019,15:00,Watford,Crystal Palace,0,0,D,0,0,D,M Atkinson
E0,07/12/2019,17:30,Man City,Man United,1,2,A,0,2,A,A Taylor
E0,08/12/2019,14:00,Aston Villa,Leicester,1,4,A,1,2,A,M Oliver
E0,08/12/2019,14:00,Newcastle,Southampton,2,1,H,0,0,D,D Coote
E0,08/12/2019,14:00,Norwich,Sheffield United,1,2,A,1,0,H,S Hooper
E0,08/12/2019,16:30,Brighton,Wolves,2,2,D,2,2,D,J Moss
E0,09/12/2019,20:00,West Ham,Arsenal,1,3,A,1,0,H,M Dean
E0,14/12/2019,12:30,Liverpool,Watford,2,0,H,1,0,H,A Marriner
E0,14/12/2019,15:00,Burnley,Newcastle,1,0,H,0,0,D,T Robinson
E0,14/12/2019,15:00,Chelsea,Bournemouth,0,1,A,0,0,D,G Scott
E0,14/12/2019,15:00,Leicester,Norwich,1,1,D,1,1,D,A Madley
E0,14/12/2019,15:00,Sheffield United,Aston Villa,2,0,H,0,0,D,P Bankes
E0,14/12/2019,17:30,Southampton,West Ham,0,1,A,0,1,A,M Atkinson
E0,15/12/2019,14:00,Man United,Everton,1,1,D,0,1,A,M Oliver
E0,15/12/2019,14:00,Wolves,Tottenham,1,2,A,0,1,A,S Attwell
E0,15/12/2019,16:30,Arsenal,Man City,0,3,A,0,3,A,P Tierney
E0,16/12/2019,19:45,Crystal Palace,Brighton,1,1,D,0,0,D,C Pawson
E0,21/12/2019,12:30,Everton,Arsenal,0,0,D,0,0,D,K Friend
E0,21/12/2019,15:00,Aston Villa,Southampton,1,3,A,0,2,A,C Pawson
E0,21/12/2019,15:00,Bournemouth,Burnley,0,1,A,0,0,D,M Atkinson
E0,21/12/2019,15:00,Brighton,Sheffield United,0,1,A,0,1,A,R Jones
E0,21/12/2019,15:00,Newcastle,Crystal Palace,1,0,H,0,0,D,S Hooper
E0,21/12/2019,15:00,Norwich,Wolves,1,2,A,1,0,H,P Bankes
E0,21/12/2019,17:30,Man City,Leicester,3,1,H,2,1,H,M Dean
E0,22/12/2019,14:00,Watford,Man United,2,0,H,0,0,D,L Mason
E0,22/12/2019,16:30,Tottenham,Chelsea,0,2,A,0,2,A,A Taylor
E0,26/12/2019,12:30,Tottenham,Brighton,2,1,H,0,1,A,G Scott
E0,26/12/2019,15:00,Aston Villa,Norwich,1,0,H,0,0,D,C Kavanagh
E0,26/12/2019,15:00,Bournemouth,Arsenal,1,1,D,1,0,H,S Attwell
E0,26/12/2019,15:00,Chelsea,Southampton,0,2,A,0,1,A,J Moss
E0,26/12/2019,15:00,Crystal Palace,West Ham,2,1,H,0,0,D,A Marriner
E0,26/12/2019,15:00,Everton,Burnley,1,0,H,0,0,D,A Taylor
E0,26/12/2019,15:00,Sheffield United,Watford,1,1,D,1,1,D,D Coote
E0,26/12/2019,17:30,Man United,Newcastle,4,1,H,3,1,H,K Friend
E0,26/12/2019,20:00,Leicester,Liverpool,0,4,A,0,1,A,M Oliver
E0,27/12/2019,19:45,Wolves,Man City,3,2,H,0,1,A,M Atkinson
